Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
9/2/2009,0,-29.55,6.3,5.7,-23284.8,2.8
10/2/2009,0,-29.46,7.5,6.7,-24525.504,2.7
11/2/2009,2.8,-29.46,5.8,5.6,-26733.888,2.8
12/2/2009,0,-29.45,3.4,3.3,-24623.136,2.7
13/02/2009,0,-29.45,1.8,1.7,-25828.416,2.7
14/02/2009,0,-29.43,0.7,1.1,-27366.336,2.6
15/02/2009,0,-29.44,1.7,1.5,-25472.448,2.6
16/02/2009,0,-29.4,0.2,-0.1,-27247.968,2.5
17/02/2009,0,-29.24,1.2,0.9,-23438.592,2.5
18/02/2009,0.8,-29.22,1.6,1.5,-24115.968,2.5
19/02/2009,0,-29.22,1.1,0.6,-25417.152,2.5
20/02/2009,0,-29.21,3.1,2.6,-25172.64,2.4
21/02/2009,0,-29.18,3.9,3.3,-27870.912,2.4
22/02/2009,0,-29.11,3.4,2.6,-24046.848,2.4
23/02/2009,0,-29.02,4.9,4.3,-25412.832,2.4
24/02/2009,0,-29.01,6.6,6.3,-24579.936,2.4
25/02/2009,0,-29.03,5,4.7,-23942.304,2.4
26/02/2009,0,-28.98,4.9,4.4,-26788.32,2.4
27/02/2009,0,-28.95,8.4,7.5,-29515.968,2.4
28/02/2009,0,-28.99,7.5,6.8,-30233.952,2.3
1/3/2009,0,-28.91,7.2,6.8,-26669.088,2.4
2/3/2009,0,-28.85,8.9,8.6,-27629.856,2.4
3/3/2009,3.4,-28.85,10.1,9.4,-29295.648,2.4
4/3/2009,6.5,-28.71,10,9.5,-26548.128,2.5
5/3/2009,9,-28.58,7.3,6.8,-28717.632,2.3
6/3/2009,0,-28.65,7.5,7.1,-29323.296,2.2
7/3/2009,0,-28.76,9.4,9.1,-30612.384,2.6
8/3/2009,0,-28.77,9.3,8.6,-28054.08,2.8
9/3/2009,0.5,-28.71,9.7,9,-27016.416,2.5
10/3/2009,0,-28.71,7.3,6.9,-27849.312,2.3
11/3/2009,2.7,-28.68,9.4,8.8,-29914.272,2.2
12/3/2009,0,-28.72,8,7.4,-31067.712,2.8
13/03/2009,0,-28.68,8.1,6.7,-30997.728,2.5
14/03/2009,0,-28.65,10.3,9.5,-30297.024,2.5
15/03/2009,0,-28.57,11.5,10.6,-25712.64,2.5
16/03/2009,0,-28.61,12.2,11.8,-30144.96,2.4
17/03/2009,0,-28.61,10.1,10.7,-30499.2,2.4
18/03/2009,0,-28.54,10.8,10,-31408.128,2.4
19/03/2009,2.5,-28.43,7.9,7.4,-28215.648,2.4
20/03/2009,0.9,-28.4,4.7,4.2,-26127.36,2.4
21/03/2009,0,-28.36,2.6,2.9,-26831.52,2.5
22/03/2009,0,-28.32,5.9,5.7,-26683.776,2.6
23/03/2009,0,-28.27,7.4,6.6,-28810.944,2.6
24/03/2009,0,-28.15,8.8,8.4,-25915.68,2.7
25/03/2009,0,-28.21,8,7.3,-28555.2,2.7
26/03/2009,0,-28.24,9.6,8.4,-28340.928,2.5
27/03/2009,0,-28.24,9.1,8.2,-29128.896,2.5
28/03/2009,0.8,-28.17,10.9,10.2,-28799.712,2.4
29/03/2009,0,-28.03,14.9,14,-24510.816,2.5
30/03/2009,0.2,-28.12,16.7,16.1,-28012.608,2.7
31/03/2009,7.7,-28.09,13.3,13.5,-27930.528,2.6
1/4/2009,0,-28.03,13.6,13.3,-27028.512,2.6
2/4/2009,0,-28.1,13,12.3,-29776.896,2.7
3/4/2009,0.4,-28.09,12.9,12.3,-28683.072,2.6
4/4/2009,0.6,-28.08,12.6,12.4,-29952.288,2.6
5/4/2009,0,-28.03,13.6,13.4,-27659.232,2.6
6/4/2009,0,-27.98,14.9,14.2,-27998.784,2.5
7/4/2009,0,-27.97,14.1,13.3,-28618.272,2.5
8/4/2009,0,-27.98,14.5,13.4,-30295.296,2.5
9/4/2009,0.2,-27.97,14.3,13.9,-30932.928,2.4
10/4/2009,0,-27.9,14.3,13.8,-29541.888,2.4
11/4/2009,0,-27.86,14.4,13.6,-28015.2,2.4
12/4/2009,0,-27.76,14.9,14.2,-24519.456,2.4
13/04/2009,0,-27.58,15.5,14.9,-21733.92,2.4
14/04/2009,0,-27.65,14.9,14.3,-26240.544,2.3
15/04/2009,0,-27.77,15,14.1,-30187.296,2.3
16/04/2009,0,-27.76,14.7,13.9,-29819.232,2.3
17/04/2009,0,-27.72,14.7,14,-29836.512,2.3
18/04/2009,0.1,-27.74,12.6,11.8,-31252.608,2.3
19/04/2009,6.9,-27.62,12.4,12.1,-24743.232,2.3
20/04/2009,1.1,-27.59,12.4,12,-25403.328,2.4
21/04/2009,0,-27.56,14,13.6,-27472.608,2.3
22/04/2009,0,-27.52,15,14.6,-26897.184,2.3
23/04/2009,0,-27.57,13.6,13,-30822.336,2.3
24/04/2009,0,-27.6,12.7,12.7,-30300.48,2.3
25/04/2009,0,-27.59,15.6,15.2,-30324.672,2.3
26/04/2009,0,-27.53,14.3,14,-26855.712,2.3
27/04/2009,0,-27.38,15.1,14.9,-27971.136,2.3
28/04/2009,4.1,-27.39,12.6,11.9,-27294.624,2.3
29/04/2009,0,-27.4,11.4,10.3,-28594.944,2.4
30/04/2009,2.9,-27.37,10.6,10.1,-26257.824,2.5
1/5/2009,0,-27.39,14.3,13.7,-27604.8,2.3
2/5/2009,0,-27.42,15.9,15.6,-29345.76,2.3
3/5/2009,0,-27.38,14,13.2,-26222.4,2.3
4/5/2009,0,-27.34,15.3,14.7,-29250.72,2.3
5/5/2009,0,-27.36,16,15.5,-29217.888,2.2
6/5/2009,0,-27.39,15.6,14.7,-30221.856,2.2
7/5/2009,0,-27.42,17.8,16.7,-32306.688,2.2
8/5/2009,0,-27.41,18.2,17.2,-30468.096,2.1
9/5/2009,0,-27.45,18.6,17.5,-32845.824,2.1
10/5/2009,0,-27.43,18.6,17.4,-31584.384,2.1
11/5/2009,0,-27.41,19.3,18,-30571.776,2.1
12/5/2009,0,-27.44,19.4,18.2,-33529.248,2.1
13/05/2009,0,-27.45,20.5,19,-33517.152,2.1
14/05/2009,0,-27.43,19.8,18.1,-33538.752,2.1
15/05/2009,0,-27.39,18.6,17.8,-32187.456,2.1
16/05/2009,0,-27.39,20.8,20.6,-32825.952,2.1
17/05/2009,0,-27.46,21.9,21.4,-32625.504,2.1
18/05/2009,0,-27.48,22.7,21.6,-34062.336,2.1
19/05/2009,0,-27.53,22.5,21.1,-35875.008,2.1
20/05/2009,0,-27.56,22,21.2,-36088.416,2.1
21/05/2009,0,-27.58,23.1,22.2,-34791.552,2
22/05/2009,0,-27.57,24.1,22.6,-34419.168,2.1
23/05/2009,0,-27.61,23.7,22.4,-36648.288,2
24/05/2009,0,-27.62,24.8,23.5,-34067.52,2
25/05/2009,0,-27.62,26,24.8,-36078.048,2
26/05/2009,0,-27.63,25.6,24.2,-37336.032,2
27/05/2009,0,-27.68,22.5,21.1,-36837.504,2.1
28/05/2009,0,-27.57,19.7,18.4,-27638.496,2
29/05/2009,0,-27.53,19.2,18.2,-31344.192,2
30/05/2009,0.3,-27.47,17.7,17.4,-28662.336,2
31/05/2009,28.3,-27.41,15.9,15.2,-26092.8,2.1
1/6/2009,0,-27.21,15.2,14.8,-25255.584,2.1
2/6/2009,0,-27.28,16.6,16.1,-31354.56,2.1
3/6/2009,0,-27.37,19.1,18,-33581.088,2.1
4/6/2009,0,-27.38,20.5,19.2,-33457.536,2.1
5/6/2009,0,-27.41,21.6,20.5,-33308.928,2.1
6/6/2009,0,-27.36,22.5,21.4,-31509.216,2.1
7/6/2009,0,-27.33,19.7,19,-27584.928,2.1
8/6/2009,0,-27.34,20.2,18.9,-32270.4,2.1
9/6/2009,0,-27.44,20.4,18.8,-35788.608,2.1
10/6/2009,0,-27.48,21.1,20.1,-34417.44,2.1
11/6/2009,0,-27.53,21.7,20.1,-34823.52,2.1
12/6/2009,0,-27.55,23,21.9,-35604.576,2
13/06/2009,0,-27.62,25,23.7,-35769.6,2
14/06/2009,0,-27.69,25.7,24.4,-34889.184,2
15/06/2009,0,-27.7,25.7,24.3,-32884.704,2
16/06/2009,0,-27.73,25.3,23.4,-35172.576,2
17/06/2009,0,-27.77,24,23.1,-34560,2
18/06/2009,0,-27.73,24.6,24.5,-34406.208,2
19/06/2009,0,-27.72,25.6,24.4,-34634.304,2
20/06/2009,0.3,-27.69,22.1,20.9,-34755.264,2
21/06/2009,0,-27.53,19.1,18.5,-27006.912,2
22/06/2009,0,-27.59,16.9,16.7,-31282.848,2
23/06/2009,0,-27.59,16.1,15.9,-29637.792,2
24/06/2009,0,-27.57,18.6,18.2,-29886.624,2
25/06/2009,0,-27.65,21,20.2,-30101.76,2
26/06/2009,0,-27.68,20,19.1,-30630.528,2.1
27/06/2009,0,-27.52,18.3,17.7,-26386.56,2.1
28/06/2009,0,-27.32,20.9,20,-21718.368,2.1
29/06/2009,0,-27.44,22.4,21.6,-25818.912,2.1
30/06/2009,0,-27.44,23.2,22.8,-26946.432,2.1
1/7/2009,0,-27.5,23.4,22.9,-30447.36,2.1
2/7/2009,0,-27.53,21.9,21.3,-29782.08,2.1
3/7/2009,0,-27.4,23.4,22.9,-27918.432,2.1
4/7/2009,0,-27.39,23.8,22.8,-28571.616,2.1
5/7/2009,0.5,-27.32,22.5,21.8,-27768.096,2.1
6/7/2009,0,-27.24,23.9,23.1,-29214.432,2.1
7/7/2009,0,-27.34,25.6,24.7,-34172.064,2.1
8/7/2009,0,-27.42,25,24.1,-35798.112,2.2
9/7/2009,0,-27.36,23.1,21.6,-27018.144,2.4
10/7/2009,0,-27.43,22.8,21.6,-31210.272,2.4
11/7/2009,0,-27.48,21.3,20.7,-30891.456,2.3
12/7/2009,0,-27.5,22.8,22,-30033.504,2.2
13/07/2009,0,-27.54,25.2,23.5,-32832,2
14/07/2009,0,-27.66,27.1,25.6,-35405.856,2
15/07/2009,0,-27.72,27.3,25.9,-34732.8,2
16/07/2009,0,-27.79,28.2,26.9,-36070.272,2
17/07/2009,0,-27.81,28.3,27.1,-36928.224,2
18/07/2009,1.3,-27.77,23.3,22.5,-33789.312,2
19/07/2009,0,-27.67,23,21.7,-26523.936,2
20/07/2009,0,-27.76,24,22.3,-30224.448,2
21/07/2009,0,-27.85,24.1,22.7,-33954.336,2
22/07/2009,0,-27.89,26.7,25,-32545.152,2
23/07/2009,0,-27.96,28.4,26.8,-35135.424,2
24/07/2009,0,-28.03,31.1,29.8,-37614.24,2
25/07/2009,0,-28.11,27.7,26.4,-35068.032,2
26/07/2009,0,-28.07,26.1,25.7,-28933.632,2
27/07/2009,0,-28.05,26.5,25.7,-29835.648,1.9
28/07/2009,0,-28.12,27.4,25.6,-34833.888,1.9
29/07/2009,0,-28.19,26.9,26.1,-33927.552,1.9
30/07/2009,0,-28.21,28.1,27,-31152.384,1.9
31/07/2009,0,-28.26,28.3,27.1,-32915.808,2
1/8/2009,0,-28.3,28,26.5,-33610.464,2
2/8/2009,0,-28.29,27.2,25.7,-30353.184,2
3/8/2009,3.4,-28.23,21.6,20.8,-27946.944,2
4/8/2009,43.7,-28,21,20.6,-23658.048,2.1
5/8/2009,0,-28.01,22.7,22.3,-27252.288,2
6/8/2009,0,-27.97,23.9,23.4,-26917.92,2.1
7/8/2009,0,-28.02,24.9,24.5,-29763.072,2.1
8/8/2009,0,-28.03,25.2,25.2,-29871.072,2
9/8/2009,0.1,-28.03,23.9,23.1,-25907.04,2
10/8/2009,0,-27.96,23.9,23.2,-27028.512,2
11/8/2009,0,-27.9,25.1,24.5,-26040.096,2
12/8/2009,0,-27.92,25.6,25.1,-28872.288,2.1
13/08/2009,0,-28,25.2,24.4,-30657.312,2.2
14/08/2009,0,-28.04,25.9,25.4,-31202.496,2.1
15/08/2009,0,-28.03,27,26.3,-28127.52,2
16/08/2009,0,-28.01,27.7,26.7,-29150.496,2.1
17/08/2009,0,-28.06,25.9,24.8,-31790.016,2.2
18/08/2009,0,-28.17,26.8,26.6,-31699.296,2.2
19/08/2009,0,-28.21,27.3,27,-31979.232,2.1
20/08/2009,0,-28.25,27.6,27,-34706.88,2
21/08/2009,0,-28.32,28.1,27.1,-35823.168,2
22/08/2009,0,-28.36,28,27,-37257.408,2
23/08/2009,0,-28.42,26.5,25.8,-38312.352,2
24/08/2009,0,-28.43,26.2,26.3,-37975.392,2
25/08/2009,0,-28.38,26.1,25.4,-38477.376,2
26/08/2009,0,-28.41,27.5,26.8,-35919.936,2
27/08/2009,0,-28.41,26.8,26.2,-35485.344,2
28/08/2009,0,-28.35,27.1,26.3,-32427.648,2
29/08/2009,0,-28.32,26.6,25.4,-33238.944,2
30/08/2009,0,-28.3,24.9,24.3,-30521.664,2
31/08/2009,0,-28.32,25,25.1,-34213.536,2
1/9/2009,0,-28.42,26.1,25.6,-36434.88,2
2/9/2009,0,-28.43,26.5,25.6,-36428.832,2
3/9/2009,0,-28.42,26.2,25.5,-35246.016,2
4/9/2009,0,-28.42,26.9,26.2,-34475.328,2
5/9/2009,0,-28.44,25,25,-34810.56,2
6/9/2009,0,-28.44,21.5,21.3,-30799.008,2
7/9/2009,0,-28.41,19.7,19.4,-31395.168,2
8/9/2009,0,-28.45,19.9,19.6,-33964.704,2
9/9/2009,0,-28.45,20.2,19.7,-33697.728,2
10/9/2009,0,-28.47,18.9,18.8,-34410.528,2
11/9/2009,0,-28.45,20.5,20,-33999.264,2
12/9/2009,0,-28.45,20.6,20.2,-34445.952,2
13/09/2009,0,-28.39,19.7,19.3,-30416.256,2
14/09/2009,0,-28.39,18.7,17.5,-32690.304,2
15/09/2009,0,-28.43,18.8,18.3,-34436.448,2
16/09/2009,0,-28.33,20.2,19.8,-30934.656,2
17/09/2009,0,-28.32,19.9,19.6,-31421.952,2
18/09/2009,0,-28.34,19.5,18.8,-31551.552,2
19/09/2009,0.4,-28.38,20,19.6,-34141.824,2
20/09/2009,13.2,-28.42,18.5,18.3,-32908.896,2.1
21/09/2009,0,-28.3,19.6,19.3,-29136.672,2
22/09/2009,0,-28.35,21.6,21.1,-31655.232,2
23/09/2009,0,-28.38,19.8,20.3,-32765.472,2
24/09/2009,0,-28.37,20,21.1,-34190.208,2
25/09/2009,0,-28.48,21.5,20.7,-37068.192,2
26/09/2009,0,-28.56,21.5,21.4,-36998.208,2
27/09/2009,0,-28.57,20.7,21.8,-35356.608,2
28/09/2009,0,-28.58,20.4,20.4,-35594.208,2.1
29/09/2009,0,-28.6,19.9,19,-35855.136,1.9
30/09/2009,0,-28.61,19.5,18.5,-36109.152,1.9
1/10/2009,0,-28.61,19,18,-36187.776,1.9
2/10/2009,0,-28.57,18.7,18.3,-36263.808,1.9
3/10/2009,0,-28.66,18,17.5,-36478.944,1.9
4/10/2009,0,-28.66,17.1,16.7,-35506.944,1.9
5/10/2009,0,-28.67,19.5,18.7,-35087.04,1.9
6/10/2009,0,-28.74,19.2,18.4,-36681.984,1.9
7/10/2009,0,-28.74,19.3,18.6,-37385.28,1.9
8/10/2009,0,-28.75,19.6,19,-37374.912,1.9
9/10/2009,0,-28.76,20.6,20.1,-38091.168,1.9
10/10/2009,0,-28.72,18.5,17.9,-34591.968,2
11/10/2009,0.1,-28.66,18.3,18.1,-33645.024,2
12/10/2009,10.6,-28.61,13.8,13.2,-33960.384,2
13/10/2009,0,-28.7,10.7,10.7,-32513.184,2
14/10/2009,0,-28.69,8.8,8.4,-31650.048,2
15/10/2009,0,-28.67,7.4,8.6,-33220.8,1.9
16/10/2009,0,-28.73,9,9,-35017.056,1.9
17/10/2009,0,-28.73,8.7,8.7,-36504.864,1.9
18/10/2009,0,-28.71,10.2,10.3,-34008.768,1.9
19/10/2009,0,-28.74,8.7,8.5,-34739.712,1.9
20/10/2009,0,-28.75,7.4,7.2,-35222.688,1.9
21/10/2009,0,-28.73,12.5,12.1,-33907.68,1.9
22/10/2009,0,-28.65,15.6,15,-33602.688,2
23/10/2009,0,-28.67,13.3,13.8,-33815.232,2
24/10/2009,0,-28.77,13.7,13.5,-35671.968,2
25/10/2009,0,-28.9,14.3,14.6,-37029.312,2
26/10/2009,0,-28.9,13,13.8,-35036.064,2
27/10/2009,0,-28.96,13,13,-36735.552,2
28/10/2009,0,-28.94,12.9,13.4,-36198.144,2
29/10/2009,0,-28.98,10.5,10.5,-36804.672,1.9
30/10/2009,0,-29.01,11.3,11.5,-37310.112,2
31/10/2009,0,-29.03,9.8,9.3,-37404.288,2
1/11/2009,0,-28.98,7.5,7.1,-34892.64,2
2/11/2009,0,-28.89,7,6.5,-33908.544,2
3/11/2009,0,-28.82,10,9.6,-35786.016,2
4/11/2009,7.1,-28.93,8.9,8.5,-37169.28,2
5/11/2009,0.1,-28.99,11.2,10.9,-37692,2
6/11/2009,0,-28.98,9.9,9.6,-35909.568,2
7/11/2009,0,-29.03,9.7,9.5,-37268.64,2
8/11/2009,10.8,-28.97,8.7,8.2,-36380.448,2
9/11/2009,4.4,-28.99,9.5,9.6,-34445.088,2.1
10/11/2009,0,-28.98,8.9,9.2,-33810.048,2.1
11/11/2009,0,-29.04,7.7,7.9,-35766.144,2
12/11/2009,0,-29.1,5.9,5.7,-34731.072,2
13/11/2009,0,-29.08,6.9,6.8,-32858.784,2
14/11/2009,0,-29.03,10.4,10.2,-33280.416,2
15/11/2009,0,-28.97,13,12.5,-31205.952,2
16/11/2009,0,-28.96,13.5,13,-32047.488,2
17/11/2009,0,-28.98,12,12,-32050.944,2
18/11/2009,0,-29.05,9.8,10.3,-33141.312,2
19/11/2009,0,-29.07,9,9.6,-33681.312,2
20/11/2009,0,-29.12,9,9.4,-34930.656,2
21/11/2009,0,-29.11,8.2,8.7,-34130.592,2
22/11/2009,0,-29.09,6.5,6.2,-32762.88,2
23/11/2009,0,-29.11,11.9,11.6,-32515.776,2
24/11/2009,0,-29.13,11.4,10.8,-33146.496,2
25/11/2009,0.1,-29.15,7,6.8,-33603.552,2
26/11/2009,0,-29.12,10.4,10.5,-33071.328,1.9
27/11/2009,0,-29.1,10.9,10.5,-33219.072,2
28/11/2009,12.8,-29.13,11.1,11,-33843.744,2.1
29/11/2009,0,-29.11,9.5,9.8,-33837.696,2.2
30/11/2009,7.5,-29.06,13.9,13.6,-33449.76,2.1
1/12/2009,0,-29.14,8.9,8.8,-33773.76,2.3
2/12/2009,0,-29.22,4.4,4.2,-33702.048,2.2
3/12/2009,0.1,-29.21,2.4,1.8,-32612.544,2.2
4/12/2009,14.3,-29.11,5.5,5.4,-32899.392,2.2
5/12/2009,0.1,-29.19,6.1,6.9,-33506.784,2.3
6/12/2009,0,-29.23,4,3.7,-31852.224,2.3
7/12/2009,0,-29.19,8.2,8,-32782.752,2.2
8/12/2009,0,-29.12,11.3,11,-30176.064,2.2
9/12/2009,0,-29.17,7.9,7.5,-32862.24,2.2
10/12/2009,0,-29.22,7.2,6.9,-34104.672,2.2
11/12/2009,0,-29.25,4.6,4.9,-36398.592,2.2
12/12/2009,0,-29.25,5,4.9,-35502.624,2.2
13/12/2009,2.7,-29.29,4.8,5.9,-36114.336,2.2
14/12/2009,0,-29.26,5.8,5.5,-34744.896,2.3
15/12/2009,0,-29.23,4.6,4.2,-33023.808,2.3
16/12/2009,0,-29.21,3.5,3.3,-31383.072,2.3
17/12/2009,0,-29.21,2.6,2.7,-32595.264,2.3
18/12/2009,0,-29.25,2.2,2.2,-33486.912,2.3
19/12/2009,11.9,-29.22,0.8,0.5,-33278.688,2.3
20/12/2009,0,-29.36,-2.7,-3,-33933.6,2.3
21/12/2009,0,-29.41,1.2,0.4,-34980.768,2.3
22/12/2009,0,-29.33,11.5,11.6,-35103.456,2.6
23/12/2009,0,-29.39,13.8,13.8,-38555.136,2.8
24/12/2009,0,-29.37,14.9,15.1,-35526.816,2.7
25/12/2009,7.7,-29.27,14.2,14,-26374.464,2.8
26/12/2009,0,-29.25,7.2,6.8,-27611.712,2.8
27/12/2009,0,-29.21,6.3,6.1,-28548.288,2.8
28/12/2009,5.1,-29.25,6.9,6.8,-30116.448,2.7
29/12/2009,0,-29.15,10.6,10.1,-26333.856,2.7
30/12/2009,0.8,-29.1,14.3,13.9,-26269.92,2.7
31/12/2009,3,-29.1,14.7,14.2,-30064.608,2.6
1/1/2010,26.5,-29.08,8.3,7.9,-25730.784,3.1
2/1/2010,0,-29.14,8,8,-29223.072,3.3
3/1/2010,0,-29.28,3.2,3.4,-29715.552,2.9
4/1/2010,0,-29.16,2.1,2,-27174.528,2.7
5/1/2010,32.6,-29.03,4.7,4.5,-25946.784,3.1
6/1/2010,0,-29.04,8.8,8.7,-27055.296,3.7
7/1/2010,0,-29.06,7.9,8,-26687.232,3.7
8/1/2010,0,-28.96,7.9,7.9,-26373.6,3.8
9/1/2010,3.6,-28.99,7.5,7.5,-28149.12,3.4
10/1/2010,0,-29.03,5.4,5.6,-27006.912,3.1
11/1/2010,0,-29.02,3.4,3.4,-26182.656,2.9
12/1/2010,0.1,-28.99,0.8,0.4,-27181.44,2.8
13/01/2010,0,-28.9,3.2,3.4,-27298.944,2.7
14/01/2010,0,-28.9,3.8,5.5,-27240.192,2.6
15/01/2010,0,-28.91,5.2,5.8,-27903.744,2.6
16/01/2010,0,-28.94,4.7,4.8,-27692.928,2.6
17/01/2010,0,-28.86,1.7,1.8,-25844.832,2.5
18/01/2010,0.1,-28.8,4.5,4.7,-25982.208,2.5
19/01/2010,0,-28.75,2.3,3.3,-26390.016,2.5
20/01/2010,0,-28.73,1.2,1.8,-28549.152,2.4
21/01/2010,0,-28.74,2.6,3.6,-30546.72,2.4
22/01/2010,0,-28.78,1.5,2.2,-29787.264,2.4
23/01/2010,0,-28.77,2.8,2.7,-30443.04,2.4
24/01/2010,0,-28.73,1,0.9,-29510.784,2.4
25/01/2010,0,-28.69,4.1,4.3,-29325.888,2.4
26/01/2010,12.7,-28.6,3.7,3.5,-26953.344,2.4
27/01/2010,0,-28.55,4.1,3.4,-27984.96,2.5
28/01/2010,0,-28.43,0.3,0.6,-26308.8,2.4
29/01/2010,0,-28.41,1.1,1.6,-28707.264,2.4
30/01/2010,0,-28.36,6.2,5.9,-28721.952,2.4
31/01/2010,0,-28.44,3.3,3.1,-28084.32,2.6
1/2/2010,0,-28.5,0.3,0.2,-27634.176,2.5
2/2/2010,0,-28.52,0,0,-28485.216,2.5
3/2/2010,0,-28.5,3.7,3.4,-29073.6,2.5
4/2/2010,0,-28.51,6.6,6.1,-28097.28,2.4
5/2/2010,19.4,-28.41,5.3,5.2,-27845.856,2.5
6/2/2010,0,-28.37,4.3,4.1,-30117.312,2.9
7/2/2010,0,-28.3,4.8,4.6,-27258.336,2.8
8/2/2010,0,-28.35,2.9,2.6,-29261.088,2.7
9/2/2010,3.3,-28.3,2.7,3,-28789.344,2.6
10/2/2010,0,-28.23,4,4.1,-28385.856,2.7
11/2/2010,0,-28.26,3.2,3.1,-27807.84,2.7
12/2/2010,0.6,-28.29,1.9,1.7,-28737.504,2.7
13/02/2010,0,-28.37,2.4,2.1,-30690.144,2.6
14/02/2010,0,-28.28,3.9,4.2,-29611.872,2.6
15/02/2010,0,-28.26,6.5,6.8,-29280.096,2.6
16/02/2010,0,-28.22,6.4,6.4,-28899.072,2.6
17/02/2010,0,-28.15,8.7,8.8,-29039.04,2.5
18/02/2010,1.2,-28.14,12,11.8,-28455.84,2.7
19/02/2010,0,-28.05,11,10.7,-28434.24,2.9
20/02/2010,0,-28.05,8.3,8,-28166.4,3.1
21/02/2010,0.5,-28.1,7.7,7.4,-27768.96,3.2
22/02/2010,0,-28.03,7.9,7.5,-28289.952,3
23/02/2010,0,-27.96,12.3,11.8,-28180.224,3.2
24/02/2010,0,-27.97,10.5,10.3,-28575.072,3.3
25/02/2010,0,-27.91,10.3,10.1,-26650.944,3.1
26/02/2010,0.3,-27.83,12.1,11.9,-27958.176,3
27/02/2010,0,-27.9,10.2,9.7,-28399.68,2.9
28/02/2010,0,-27.77,12.9,12.5,-25144.992,2.8
1/3/2010,7,-27.7,12.7,12.8,-25276.32,2.7
2/3/2010,0,-27.8,10.4,10.1,-27832.896,2.8
3/3/2010,0.1,-27.65,8.3,8.4,-26872.128,2.7
4/3/2010,0,-27.56,8.2,8.1,-27307.584,2.7
5/3/2010,0,-27.62,5.2,4.8,-28559.52,2.7
6/3/2010,0,-27.62,4,3.7,-28823.904,2.6
7/3/2010,0,-27.56,3.5,3.4,-28828.224,2.6
8/3/2010,0,-27.48,3.7,3.1,-28755.648,2.6
9/3/2010,6,-27.39,3.3,2.7,-28407.456,2.6
10/3/2010,0,-27.37,4.8,4.4,-29382.048,2.7
11/3/2010,0,-27.37,3.5,3.5,-30672.864,2.7
12/3/2010,0.8,-27.37,6.4,6.3,-29093.472,2.7
13/03/2010,0,-27.35,6.3,6.1,-30240.864,2.7
14/03/2010,0,-27.29,6.2,6.5,-29772.576,2.7
15/03/2010,0,-27.26,7.6,7.4,-29472.768,2.6
16/03/2010,0,-27.27,7.1,6.7,-30235.68,2.6
17/03/2010,0,-27.27,7.9,7.4,-29597.184,2.6
